Team,Season_End_Year,Points,Rank
Sunderland,2016,39,17.0
Sunderland,2017,24,20.0
Swansea City,2012,47,10.0
Swansea City,2013,46,9.0
Swansea City,2014,42,12.0
Swansea City,2015,56,8.0
Swansea City,2016,47,11.0
Swansea City,2017,41,14.0
Swansea City,2018,33,18.0
Swindon Town,1994,30,22.0
Tottenham,1993,59,6.0
Tottenham,1994,45,15.0
Tottenham,1995,62,7.0
Tottenham,1996,61,6.0
Tottenham,1997,46,10.0
Tottenham,1998,44,13.0
Tottenham,1999,47,11.0
Tottenham,2000,53,10.0
Tottenham,2001,49,12.0
Tottenham,2002,50,8.0
Tottenham,2003,50,10.0
Tottenham,2004,45,13.0
Tottenham,2005,52,8.0
Tottenham,2006,65,5.0
Tottenham,2007,60,5.0
Tottenham,2008,46,11.0
Tottenham,2009,51,8.0
Tottenham,2010,70,4.0
Tottenham,2011,62,5.0
Tottenham,2012,69,4.0
Tottenham,2013,72,5.0
Tottenham,2014,69,6.0
Tottenham,2015,64,5.0
Tottenham,2016,70,3.0
Tottenham,2017,86,2.0
Tottenham,2018,77,3.0
Tottenham,2019,71,4.0
Tottenham,2020,59,6.0
Tottenham,2021,62,7.0
Tottenham,2022,71,4.0
Tottenham,2023,60,8.0
Watford,2000,24,20.0
Watford,2007,28,20.0
Watford,2016,45,13.0
Watford,2017,40,16.0
Watford,2018,41,14.0
Watford,2019,50,11.0
Watford,2020,34,18.0
Watford,2022,23,19.0
West Brom,2003,26,19.0
West Brom,2005,34,17.0
West Brom,2006,30,19.0
West Brom,2009,32,19.0
West Brom,2011,47,10.0
West Brom,2012,47,10.0
West Brom,2013,49,8.0
West Brom,2014,36,17.0
West Brom,2015,44,13.0
West Brom,2016,43,14.0
West Brom,2017,45,10.0
West Brom,2018,31,20.0
West Brom,2021,26,19.0
West Ham,1994,52,13.0
West Ham,1995,50,14.0
West Ham,1996,51,10.0
West Ham,1997,42,13.0
West Ham,1998,56,8.0
West Ham,1999,57,5.0
West Ham,2000,55,8.0
West Ham,2001,42,14.0
West Ham,2002,53,7.0
West Ham,2003,42,18.0
West Ham,2006,55,9.0
West Ham,2007,41,15.0
West Ham,2008,49,10.0
West Ham,2009,51,8.0
West Ham,2010,35,17.0
West Ham,2011,33,20.0
