Date,Opponent,Venue,Result,"Result (Win, Draw, Lost)",Result (Win versus Points Lost),Points,Goals,Goals Against,Shots,Shots on Target,Shots on Target %,Goals Per Shot,Goals Per Shot on Target,Average Shot Distance,Free Kick Goals,Penalty Kick Goals,Penalty Kick Attempt,Expected Goals,Non-penalty Expected Goals,Non-penalty Expected Goals Per Shot,Goals Minus Expected Goals,Non Penalty Goals Minus Expected Non-penalty Goals,Shots on Target Against,Saves By Goalkeeper,Save Percentage By Goalkeeper,Clean Sheets,Post-shot Expected Goals,Post-shot Expected Goals Minus Goals,Passes Completed (Longer than 40 yards) By Goalkeeper,Passes Attempted (Longer than 40 yards) By Goalkeeper,Passes Completed Percentage (Longer than 40 yards) By Goalkeeper,Passes Attempted By Goalkeeper,Average Passes Length By Goalkeeper,Goals Kicks Attempted By Goalkeeper,Goals Kicks Attempted (Longer than 40 yards) ,Average Goal Kicks Length By Goalkeeper,Crosses Faced By Goalkeeper,Crosses Stopped By Goalkeeper,Crosses Stopped Percentage By Goalkeeper,Defensive Action Outside Penalty Area By Goalkeeper,Average Distance of Defensive Action By Goalkeeper,Passes Completed,Passes Attemped,Passes Completion Percentage,Total Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attemped,Short Passes Completion Percentage,Medium Passes Completed,Medium Passes Attemped,Medium Passes Completion Percentage,Long Passes Completed,Long Passes Attemped,Long Passes Completion Percentage,Assist,Expected Assisted Goals,Expected Assist,Key passes,Passes Into Final Third,Passes Into Penalty Area,Crosses Into Penalty Area,Progressive Passes,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Challenged Tribble Attempted,Challenged Tribble Successful Percentage,Blocks,Shots Blocked,Shot Against,Shots Block Percentage(%),Passes Blocked,Interception,Clearance,Errors,Possession (%),Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Take-on (Dribble) Attempted,Take-on (Dribble) Success Percentage,Carries,Total Carries Distance,Progressive Carries Distance,Progressive Carries,Carries into Final Third,Carries Into Penalty Area,Miscontrols,Dispossesed,Yellow Card,Red Cards,Fouls Commited,Fouls Drawn,Offsides,Crosses,Interception,Tackles Won,Ball Recovery,Aerial Duel Won,Aerial Duel Lost,Arieal Duel Won Percentage
13/11/2022,Fulham,Away,W,2,1,3,2,1,14,9,64.3,0.14,0.22,17.7,0,0,0,2.5,2.5,0.19,-0.5,-0.5,7,6,85.7,0,1.2,0.2,1,7,14.3,32,27.7,0,,,23,1,4.3,1,16.5,367,468,78.4,6176,2431,189,221,85.5,131,160,81.9,36,66,54.5,1,1.7,1.6,11,20,9,4,30,12,7,8,4,0,10,60,14,2,14,0.142857143,12,8,38,0,47,606,104,275,232,106,25,16,6.3,288,1502,775,15,11,7,16,6,1,0,10,8,2,13,8,7,58,17,11,60.7
21/12/2022,Burnley,Home,W,2,1,3,2,0,10,6,60,0.2,0.33,,,0,0,,,,,,1,1,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,13,,,,,,,,11,0,,3,,,55,,,,,,,,,,,,,,,,,2,0,6,8,3,10,3,13,,,,
27/12/2022,Nott'ham Forest,Home,W,2,1,3,3,0,17,8,47.1,0.18,0.38,15.9,0,0,0,2.4,2.4,0.15,0.6,0.6,3,3,100,1,0.5,0.5,2,3,66.7,16,25.3,5,0,17.8,16,0,0,1,22,570,668,85.3,8829,2989,313,340,92.1,195,222,87.8,41,64,64.1,3,2.1,1.5,13,50,15,0,56,18,9,10,3,5,13,38.5,12,2,8,0.25,10,14,25,0,65,795,49,181,374,247,38,16,18.8,519,2296,1402,26,15,4,16,5,3,0,13,4,1,16,14,9,56,7,6,53.8
31/12/2022,Wolves,Away,W,2,1,3,1,0,16,6,37.5,0.06,0.17,14.9,1,0,0,2,2,0.12,-1,-1,3,3,100,1,0.6,0.6,1,8,12.5,21,33.5,0,,,16,0,0,2,29.5,419,522,80.3,6837,2487,236,265,89.1,138,162,85.2,35,67,52.2,1,0.8,1.3,9,33,9,1,52,17,5,8,3,6,24,45.8,11,6,10,0.6,5,15,22,0,54,650,47,188,266,203,37,19,21.1,383,1799,1001,16,20,7,17,4,3,0,11,11,2,13,15,5,63,10,7,58.8
3/1/2023,Bournemouth,Home,W,2,1,3,3,0,18,6,33.3,0.17,0.5,16.7,2,0,0,2.2,2.2,0.13,0.8,0.8,4,4,100,1,0.5,0.5,4,6,66.7,18,32.9,2,50,44,14,0,0,0,19.5,512,614,83.4,8775,2934,243,267,91,204,228,89.5,53,82,64.6,3,2.1,1.7,15,36,13,2,48,9,6,5,3,1,12,58.3,10,1,7,0.142857143,9,10,11,1,58,705,41,189,329,193,34,15,26.7,434,1995,1157,17,17,8,8,12,0,0,13,7,0,18,10,6,63,6,9,40
6/1/2023,Everton,Home,W,2,1,3,3,1,17,7,41.2,0.06,0.14,,,1,1,,,,,,4,3,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,10,,,,,,,,8,0,,11,,,58,,,,,,,,,,,,,,,,,1,0,10,8,0,14,11,10,,,,
10/1/2023,Charlton Ath,Home,W,2,1,3,3,0,21,5,23.8,0.14,0.6,,,0,0,,,,,,2,2,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,7,,,,,,,,5,0,,7,,,69,,,,,,,,,,,,,,,,,2,0,11,6,5,11,7,7,,,,
14/1/2023,Manchester City,Home,W,2,1,3,2,1,8,3,37.5,0.25,0.67,14.8,0,0,0,1.7,1.7,0.21,0.3,0.3,1,0,0,0,0.9,-0.1,7,21,33.3,37,38.1,1,100,63,13,0,0,1,22.5,246,338,72.8,4220,1831,121,145,83.4,79,96,82.3,30,61,49.2,2,1.7,1.1,8,14,5,0,17,15,8,11,4,0,12,50,7,2,5,0.4,5,6,29,0,30,425,77,230,135,65,15,11,81.8,178,881,447,12,7,6,7,5,3,0,15,5,6,4,6,8,46,9,10,47.4
18/1/2023,Crystal Palace,Away,D,1,0,1,1,1,15,4,26.7,0.07,0.25,19.5,1,0,0,2.1,2.1,0.14,-1.1,-1.1,5,4,80,0,1.3,0.3,2,6,33.3,27,25.4,1,100,51,12,0,0,0,,535,663,80.7,8197,2965,308,345,89.3,185,211,87.7,30,68,44.1,1,2,1,13,38,15,3,65,32,18,16,15,1,22,81.8,12,2,10,0.2,10,12,18,0,60,802,65,221,419,170,27,15,13.3,531,2971,1618,34,23,2,14,14,2,0,10,8,0,15,12,18,91,9,13,40.9
22/1/2023,Arsenal,Away,L,0,0,0,2,3,6,4,66.7,0.33,0.5,18.2,0,0,0,0.4,0.4,0.06,1.6,1.6,5,2,40,0,2.7,-0.3,2,13,15.4,36,31.6,1,100,62,17,0,0,0,4,324,427,75.9,5134,1639,169,194,87.1,125,147,85,22,61,36.1,1,0.1,0.4,3,20,3,0,19,21,11,14,5,2,19,42.1,23,13,25,0.52,10,16,36,0,43,569,114,247,221,106,12,17,41.2,231,1317,594,10,12,2,17,11,2,0,9,8,4,9,16,11,57,16,11,59.3
